"Area" "Year" "average_rain_fall_mm_per_year" "pesticides_tonnes" "avg_temp" "Maize" "Potatoes" "Rice, paddy" "Sorghum" "Soybeans" "Wheat" "Cassava" "Sweet potatoes" "Plantains and others" "Yams"
"1" "Albania" 1990 1485 121 16.37 36613 66667 23333 12500 7000 30197 NA NA NA NA
"2" "Albania" 1991 1485 121 15.36 29068 77818 28538 6667 6066 20698 NA NA NA NA
"3" "Albania" 1992 1485 121 16.06 24876 82920 40000 3747 4507 24388 NA NA NA NA
"4" "Albania" 1993 1485 121 16.05 24185 98446 41786 NA 7998 29976 NA NA NA NA
"5" "Albania" 1994 1485 201 16.96 25848 81404 NA NA 7927 24745 NA NA NA NA
"6" "Albania" 1995 1485 251 15.67 31300 111323 NA NA 11791 28703 NA NA NA NA
"7" "Albania" 1996 1485 313.96 15.64 32604 106138 NA NA 15480 21741 NA NA NA NA
"8" "Albania" 1997 1485 376.93 15.9 31862 109874 NA NA 12768 28516 NA NA NA NA
"9" "Albania" 1998 1485 439.89 16.27 33416 127212 NA NA 14327 28037 NA NA NA NA
"10" "Albania" 1999 1485 502.86 16.57 37455 142018 NA NA 17143 24954 NA NA NA NA
"11" "Albania" 2000 1485 565.82 16.67 38811 141228 NA NA 15000 30455 NA NA NA NA
"12" "Albania" 2001 1485 628.79 16.59 38135 148818 NA NA 20000 28220 NA NA NA NA
"13" "Albania" 2002 1485 691.75 16.47 39460 153868 NA NA 20000 31617 NA NA NA NA
"14" "Albania" 2004 1485 817.68 16.16 46197 149346 NA NA 13333 31130 NA NA NA NA
"15" "Albania" 2005 1485 880.64 15.67 45442 167061 NA NA 17500 31582 NA NA NA NA
"16" "Albania" 2006 1485 943.61 15.92 50111 170745 NA NA 20000 30787 NA NA NA NA
"17" "Albania" 2007 1485 1006.57 16.67 46732 188902 NA NA 20000 35496 NA NA NA NA
"18" "Albania" 2008 1485 1069.54 16.71 50000 193878 NA NA 20000 40168 NA NA NA NA
"19" "Albania" 2009 1485 1132.5 16.73 55693 219780 NA NA 16667 40229 NA NA NA NA
"20" "Albania" 2010 1485 1311.17 16.52 66790 231111 NA NA 16667 39905 NA NA NA NA
"21" "Albania" 2011 1485 1302.63 16.45 59869 242211 NA NA 18519 42301 NA NA NA NA
"22" "Albania" 2012 1485 766.25 16.7 67290 250538 NA NA 13333 41096 NA NA NA NA
"23" "Albania" 2013 1485 982.32 17.41 69533 260110 NA NA 10000 41292 NA NA NA NA
"24" "Algeria" 1990 89 1828.92 17.48 16500 78936 28000 16571 NA 6315 NA NA NA NA
"25" "Algeria" 1991 89 2461.8 16.26 19231 90747 26786 24231 NA 10809 NA NA NA NA
"26" "Algeria" 1992 89 1215.47 16.27 22828 107917 24733 40000 NA 9939 NA NA NA NA
"27" "Algeria" 1993 89 1021.89 17 12500 111215 23111 50000 NA 8097 NA NA NA NA
"28" "Algeria" 1994 89 1255.02 17.88 4512 95078 21374 NA NA 7999 NA NA NA NA
"29" "Algeria" 1995 89 2697.09 17.36 16115 136768 19598 12667 NA 8924 NA NA NA NA
"30" "Algeria" 1996 89 479.77 16.76 17154 134629 17861 14750 NA 13090 NA NA NA NA
"31" "Algeria" 1997 89 401.22 17.84 21417 141042 15000 40000 NA 8016 NA NA NA NA
"32" "Algeria" 1998 89 322.84 17.14 17222 160256 15000 24500 NA 8847 NA NA NA NA
"33" "Algeria" 1999 89 654.45 17.97 22375 153532 13942 27000 NA 10711 NA NA NA NA
"34" "Algeria" 2000 89 603.67 17.9 36186 166143 13052 69500 NA 9194 NA NA NA NA
"35" "Algeria" 2001 89 710.11 18.13 27175 147018 12314 27750 NA 11104 NA NA NA NA
"36" "Algeria" 2002 89 816.55 17.85 33480 183774 12959 33900 NA 10739 NA NA NA NA
"37" "Algeria" 2004 89 3747.86 17.38 31729 203585 12829 43316 NA 13582 NA NA NA NA
"38" "Algeria" 2005 89 3662.87 17.19 33864 216267 12998 33486 NA 15057 NA NA NA NA
"39" "Algeria" 2006 89 4110.72 18.13 65668 220689 12769 56728 NA 15068 NA NA NA NA
"40" "Algeria" 2007 89 5390.79 17.42 85625 189927 13375 119059 NA 12742 NA NA NA NA
"41" "Algeria" 2008 89 11556.12 17.55 44714 236393 13952 61786 NA 11038 NA NA NA NA
"42" "Algeria" 2009 89 3867.99 17.78 30914 250764 14594 90465 NA 15975 NA NA NA NA
"43" "Algeria" 2010 89 1295.88 17.59 25827 270526 15305 30286 NA 14838 NA NA NA NA
"44" "Algeria" 2011 89 13861.76 17.79 23374 292806 16081 100000 NA 17405 NA NA NA NA
"45" "Algeria" 2012 89 17379.76 17.91 25583 304291 16667 206000 NA 17639 NA NA NA NA
"46" "Algeria" 2013 89 17278.65 17.65 33649 303218 17778 60000 NA 19100 NA NA NA NA
"47" "Angola" 1990 1010 64 24.12 2736 40000 9512 NA NA 7995 41177 89342 NA NA
"48" "Angola" 1991 1010 79 24.02 4013 40000 10000 NA NA 8000 40295 83001 NA NA
"49" "Angola" 1992 1010 23 23.96 3778 40000 9106 NA NA 8000 42295 90000 NA NA
"50" "Angola" 1993 1010 169 24.15 2627 70000 8000 NA NA 8876 42295 88095 NA NA
"51" "Angola" 1994 1010 25.5 24.04 2463 90000 8750 NA NA 10000 58596 83192 NA NA
"52" "Angola" 1995 1010 336 24.56 3517 76738 14615 NA NA 11855 51000 81138 NA NA
"53" "Angola" 1996 1010 40 24.11 6993 70000 17500 NA NA 13738 48077 85455 NA NA
"54" "Angola" 1997 1010 40 24.06 5959 68571 20000 NA NA 15509 44205 78098 NA NA
"55" "Angola" 1998 1010 40 24.96 7396 62724 20000 NA NA 17143 55728 76256 NA NA
